accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_000242815.2	Janthinobacterium lividum PAMC 25724	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__Janthinobacterium lividum	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Janthinobacterium; s__Janthinobacterium lividum_D	True	False
GCA_001278625.1	Janthinobacterium sp. Ant5-2	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__	Undefined (Failed Quality Check)	False	False
GCA_001485665.1	Janthinobacterium sp. CG23_2	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Telluria; s__Telluria antarctica	False	False
GCA_001678745.2	Janthinobacterium lividum	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__Janthinobacterium lividum	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Janthinobacterium; s__Janthinobacterium lividum_D	False	False
GCA_002735605.1	Janthinobacterium sp. BJB412	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Rugamonas; s__Rugamonas rubra	False	False
GCA_002735615.1	Janthinobacterium sp. BJB303	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Janthinobacterium; s__Janthinobacterium sp002127585	False	False
GCA_002735715.1	Janthinobacterium sp. BJB312	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Janthinobacterium; s__Janthinobacterium rivuli	False	False
GCA_002735775.2	Janthinobacterium sp. BJB1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Janthinobacterium; s__Janthinobacterium sp002127585	False	False
GCA_002900945.1	Janthinobacterium sp. CG23_2	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Telluria; s__Telluria antarctica	False	False
GCA_003133225.1	Janthinobacterium sp.	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Janthinobacterium; s__Janthinobacterium sp003133225	True	False
GCA_003482555.1	Janthinobacterium sp.	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Janthinobacterium; s__Janthinobacterium sp003482555	True	False
GCA_014379395.1	Burkholderiaceae bacterium	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Janthinobacterium; s__Janthinobacterium sp014379395	True	False
